86-Send            2.524922e+05	126000	0.95         2.00         14.07        251833.92
87-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
91-Recv            2.524922e+05	126000	0.95         0.37         7.15         46811.34
92-Wait            0.000000e+00	2000	238491.06    251421.14    416048.05    502842274.90
114-Reduce          7.629395e-06	1	12102.13     12102.13     12102.13     12102.13
425-Send            2.524922e+05	126000	0.95         2.01         15.02        253412.01
426-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
430-Recv            2.524922e+05	126000	0.95         0.37         7.15         46216.01
431-Wait            0.000000e+00	2000	240842.10    252922.44    417906.05    505844887.73
453-Reduce          7.629395e-06	1	19.07        19.07        19.07        19.07
748-Send            2.524922e+05	126000	0.95         2.04         14.07        257249.36
749-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
753-Recv            2.524922e+05	126000	0.95         0.39         6.20         48962.59
754-Wait            0.000000e+00	2000	241433.14    253128.91    414370.78    506257816.55
776-Reduce          7.629395e-06	1	19.79        19.79        19.79        19.79
1072-Send            1.971844e+06	534000	0.95         97.31        1264.10      51963647.84
1073-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
1077-Recv            1.971844e+06	534000	0.00         0.30         149.01       162398.82
1078-Wait            0.000000e+00	8000	3.10         49561.69     181576.01    396493485.21
1100-Reduce          7.629395e-06	1	15.02        15.02        15.02        15.02
1431-Send            2.524922e+05	126000	0.95         2.02         17.17        254782.92
1432-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
1436-Recv            2.524922e+05	126000	0.95         0.37         7.15         46209.10
1437-Wait            0.000000e+00	2000	239659.07    252277.07    416175.84    504554131.27
1459-Reduce          7.629395e-06	1	22.89        22.89        22.89        22.89
1756-Send            2.524922e+05	126000	0.95         2.09         15.02        263837.58
1757-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
1761-Recv            2.524922e+05	126000	0.95         0.39         8.11         48815.01
1762-Wait            0.000000e+00	2000	243133.07    254245.53    416013.96    508491055.73
1784-Reduce          7.629395e-06	1	19.07        19.07        19.07        19.07
2079-Send            2.524922e+05	126000	0.95         2.15         15.02        270403.15
2080-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
2084-Recv            2.524922e+05	126000	0.00         0.38         10.01        48496.01
2085-Wait            0.000000e+00	2000	240703.11    252517.26    414952.04    505034527.06
2107-Reduce          7.629395e-06	1	17.17        17.17        17.17        17.17
2403-Send            1.971844e+06	534000	0.95         95.38        1118.90      50935404.06
2404-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
2408-Recv            1.971844e+06	534000	0.00         0.32         20.98        172092.44
2409-Wait            0.000000e+00	8000	3.81         49011.36     170212.03    392090886.59
2431-Reduce          7.629395e-06	1	16.21        16.21        16.21        16.21
2762-Send            2.524922e+05	126000	0.95         2.09         11.92        263160.94
2763-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
2767-Recv            2.524922e+05	126000	0.95         0.38         7.87         47519.21
2768-Wait            0.000000e+00	2000	240746.97    252996.97    410953.04    505993940.59
2790-Reduce          7.629395e-06	1	35.05        35.05        35.05        35.05
3098-Send            2.524922e+05	126000	0.95         2.01         19.07        253774.40
3099-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
3103-Recv            2.524922e+05	126000	0.95         0.38         7.87         47735.45
3104-Wait            0.000000e+00	2000	242653.13    254407.14    413105.01    508814270.97
3126-Reduce          7.629395e-06	1	17.88        17.88        17.88        17.88
3421-Send            2.524922e+05	126000	0.95         1.99         13.11        250950.34
3422-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
3426-Recv            2.524922e+05	126000	0.95         0.36         7.87         45684.58
3427-Wait            0.000000e+00	2000	240062.00    252412.13    410444.02    504824267.15
3449-Reduce          7.629395e-06	1	23.13        23.13        23.13        23.13
3745-Send            1.971844e+06	534000	0.95         96.54        1334.91      51554483.65
3746-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
3750-Recv            1.971844e+06	534000	0.00         0.31         149.01       166579.25
3751-Wait            0.000000e+00	8000	3.81         49606.50     173201.08    396851972.58
3773-Reduce          7.629395e-06	1	18.12        18.12        18.12        18.12
4104-Send            2.524922e+05	126000	0.95         2.00         18.12        251427.89
4105-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
4109-Recv            2.524922e+05	126000	0.95         0.36         15.02        45798.78
4110-Wait            0.000000e+00	2000	238785.98    251745.60    419710.16    503491209.51
4132-Reduce          7.629395e-06	1	6824.97      6824.97      6824.97      6824.97
4429-Send            2.524922e+05	126000	0.95         2.07         21.93        260268.21
4430-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
4434-Recv            2.524922e+05	126000	0.95         0.37         6.91         46854.73
4435-Wait            0.000000e+00	2000	239908.93    252050.52    421298.03    504101032.02
4457-Reduce          7.629395e-06	1	16.93        16.93        16.93        16.93
4752-Send            2.524922e+05	126000	0.95         2.10         16.21        264179.71
4753-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
4757-Recv            2.524922e+05	126000	0.95         0.38         6.91         47434.57
4758-Wait            0.000000e+00	2000	241526.84    252745.00    396044.02    505489998.10
4780-Reduce          7.629395e-06	1	20.03        20.03        20.03        20.03
5076-Send            1.971844e+06	534000	0.95         97.13        1161.10      51868709.09
5077-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
5081-Recv            1.971844e+06	534000	0.95         0.31         20.03        167712.93
5082-Wait            0.000000e+00	8000	3.81         48946.77     179678.92    391574182.27
5104-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
5435-Send            2.524922e+05	126000	0.95         2.05         17.17        258487.22
5436-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
5440-Recv            2.524922e+05	126000	0.00         0.37         311.14       46223.88
5441-Wait            0.000000e+00	2000	238082.89    251279.36    409156.08    502558718.44
5463-Reduce          7.629395e-06	1	6352.90      6352.90      6352.90      6352.90
5771-Send            2.524922e+05	126000	0.95         2.06         18.84        259895.56
5772-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
5776-Recv            2.524922e+05	126000	0.95         0.38         6.91         47814.37
5777-Wait            0.000000e+00	2000	239933.97    252767.11    413594.96    505534213.07
5799-Reduce          7.629395e-06	1	25.99        25.99        25.99        25.99
6094-Send            2.524922e+05	126000	0.95         2.00         18.12        251634.12
6095-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
6099-Recv            2.524922e+05	126000	0.95         0.37         7.15         47240.97
6100-Wait            0.000000e+00	2000	240304.95    252769.51    412153.96    505539010.29
6122-Reduce          7.629395e-06	1	17.88        17.88        17.88        17.88
6418-Send            1.971844e+06	534000	0.95         95.75        1163.96      51128639.46
6419-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
6423-Recv            1.971844e+06	534000	0.00         0.33         140.91       174349.55
6424-Wait            0.000000e+00	8000	3.81         49123.60     173852.92    392988770.96
6446-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
6777-Send            2.524922e+05	126000	0.95         1.95         15.97        245076.42
6778-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
6782-Recv            2.524922e+05	126000	0.95         0.36         6.91         45171.74
6783-Wait            0.000000e+00	2000	237926.96    251430.82    403794.05    502861648.80
6805-Reduce          7.629395e-06	1	21.93        21.93        21.93        21.93
7102-Send            2.524922e+05	126000	0.95         2.05         15.02        258064.27
7103-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
7107-Recv            2.524922e+05	126000	0.95         0.38         6.91         48299.55
7108-Wait            0.000000e+00	2000	239316.94    252585.52    402853.97    505171049.83
7130-Reduce          7.629395e-06	1	16.21        16.21        16.21        16.21
7425-Send            2.524922e+05	126000	0.95         1.91         15.97        240092.99
7426-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
7430-Recv            2.524922e+05	126000	0.95         0.34         5.96         42344.81
7431-Wait            0.000000e+00	2000	239454.03    252430.86    403136.97    504861715.08
7453-Reduce          7.629395e-06	1	20.03        20.03        20.03        20.03
7749-Send            1.971844e+06	534000	0.95         96.05        1342.06      51291073.32
7750-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
7754-Recv            1.971844e+06	534000	0.00         0.30         20.03        157613.52
7755-Wait            0.000000e+00	8000	3.81         49682.63     167489.77    397461005.69
7777-Reduce          7.629395e-06	1	17.17        17.17        17.17        17.17
8108-Send            2.524922e+05	126000	0.95         1.96         15.97        246966.84
8109-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
8113-Recv            2.524922e+05	126000	0.95         0.36         12.87        45653.82
8114-Wait            0.000000e+00	2000	239655.97    251095.52    416753.05    502191038.85
8136-Reduce          7.629395e-06	1	428.92       428.92       428.92       428.92
8444-Send            2.524922e+05	126000	0.95         2.09         20.03        262980.22
8445-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
8449-Recv            2.524922e+05	126000	0.95         0.37         6.91         46412.71
8450-Wait            0.000000e+00	2000	240566.02    251988.56    418558.12    503977127.79
8472-Reduce          7.629395e-06	1	16.93        16.93        16.93        16.93
8767-Send            2.524922e+05	126000	0.95         2.03         21.93        255455.02
8768-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
8772-Recv            2.524922e+05	126000	0.95         0.38         6.91         48303.37
8773-Wait            0.000000e+00	2000	243339.78    253849.42    422052.15    507698846.10
8795-Reduce          7.629395e-06	1	22.89        22.89        22.89        22.89
9091-Send            1.971844e+06	534000	0.95         98.83        1210.93      52776470.42
9092-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
9096-Recv            1.971844e+06	534000	0.00         0.31         133.04       167505.98
9097-Wait            0.000000e+00	8000	3.81         48948.65     163316.97    391589220.29
9119-Reduce          7.629395e-06	1	16.93        16.93        16.93        16.93
9450-Send            2.524922e+05	126000	0.95         1.99         16.93        250808.00
9451-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
9455-Recv            2.524922e+05	126000	0.95         0.37         6.91         46931.03
9456-Wait            0.000000e+00	2000	240623.95    251567.12    408348.08    503134239.91
9478-Reduce          7.629395e-06	1	8429.05      8429.05      8429.05      8429.05
9775-Send            2.524922e+05	126000	0.95         2.16         18.12        272195.58
9776-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
9780-Recv            2.524922e+05	126000	0.95         0.36         7.15         45915.13
9781-Wait            0.000000e+00	2000	242484.09    252423.97    409432.89    504847938.54
9803-Reduce          7.629395e-06	1	18.12        18.12        18.12        18.12
10098-Send            2.524922e+05	126000	0.95         1.93         16.93        242588.04
10099-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
10103-Recv            2.524922e+05	126000	0.95         0.38         6.20         47601.22
10104-Wait            0.000000e+00	2000	245089.05    254733.87    413022.99    509467731.48
10126-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
10422-Send            1.971844e+06	534000	0.95         95.56        1354.93      51028342.25
10423-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
10427-Recv            1.971844e+06	534000	0.00         0.31         20.03        163998.13
10428-Wait            0.000000e+00	8000	3.81         49366.61     164855.96    394932913.78
10450-Reduce          7.629395e-06	1	20.98        20.98        20.98        20.98
10781-Send            2.524922e+05	126000	0.95         1.99         11.92        250767.95
10782-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
10786-Recv            2.524922e+05	126000	0.00         0.36         6.20         45192.48
10787-Wait            0.000000e+00	2000	237800.12    251340.10    398577.21    502680209.16
10809-Reduce          7.629395e-06	1	6994.96      6994.96      6994.96      6994.96
11120-Send            2.524922e+05	126000	0.95         1.95         40.05        245714.43
11121-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
11125-Recv            2.524922e+05	126000	0.00         0.35         7.15         43588.88
11126-Wait            0.000000e+00	2000	239539.15    252508.59    400654.08    505017170.67
11148-Reduce          7.629395e-06	1	19.07        19.07        19.07        19.07
11443-Send            2.524922e+05	126000	0.95         2.04         15.02        257494.69
11444-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
11448-Recv            2.524922e+05	126000	0.95         0.38         7.87         48477.65
11449-Wait            0.000000e+00	2000	240706.92    252486.11    400712.97    504972213.98
11471-Reduce          7.629395e-06	1	23.13        23.13        23.13        23.13
11767-Send            1.971844e+06	534000	0.95         97.06        1200.91      51829326.87
11768-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
11772-Recv            1.971844e+06	534000	0.00         0.30         144.00       162268.40
