5444-Reduce,7.629395e-06,1,25.99,25.99,25.99,25.99
5803-Send,2.524922e+05,126000,0.95,2.06,20.98,258974.55
5804-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
5808-Recv,2.524922e+05,126000,0.95,0.39,18.84,48521.28
5809-Wait,0.000000e+00,2000,178323.98,186518.93,281651.97,373037856.58
5831-Reduce,7.629395e-06,1,5980.97,5980.97,5980.97,5980.97
6139-Send,1.001953e+06,314000,0.95,169.35,1107.93,53177206.99
6140-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
6144-Recv,1.001953e+06,314000,0.00,0.39,128.98,123307.47
6145-Wait,0.000000e+00,8000,3.81,33918.01,131860.97,271344100.48
6167-Reduce,7.629395e-06,1,17.17,17.17,17.17,17.17
6526-Send,2.524922e+05,126000,0.95,1.87,17.17,234993.93
6527-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
6531-Recv,2.524922e+05,126000,0.95,0.53,6.20,66313.74
6532-Wait,0.000000e+00,2000,180348.87,187985.54,285691.02,375971088.41
6554-Reduce,7.629395e-06,1,16.93,16.93,16.93,16.93
6850-Send,1.001953e+06,314000,0.95,165.70,1383.07,52029226.78
6851-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
6855-Recv,1.001953e+06,314000,0.00,0.39,10.97,123451.71
6856-Wait,0.000000e+00,8000,3.81,34628.60,136254.07,277028780.70
6878-Reduce,7.629395e-06,1,25.03,25.03,25.03,25.03
7237-Send,2.524922e+05,126000,0.95,1.90,17.17,240019.32
7238-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
7242-Recv,2.524922e+05,126000,0.95,0.37,17.17,46283.72
7243-Wait,0.000000e+00,2000,178353.07,186929.35,284619.09,373858701.47
7265-Reduce,7.629395e-06,1,20.03,20.03,20.03,20.03
7562-Send,1.001953e+06,314000,0.95,164.89,1401.19,51776899.34
7563-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
7567-Recv,1.001953e+06,314000,0.00,0.39,8.11,123605.25
7568-Wait,0.000000e+00,8000,3.81,34504.14,135338.07,276033110.86
7590-Reduce,7.629395e-06,1,20.03,20.03,20.03,20.03
7949-Send,2.524922e+05,126000,0.95,1.84,13.11,231217.15
7950-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
7954-Recv,2.524922e+05,126000,0.95,0.36,7.15,44829.61
7955-Wait,0.000000e+00,2000,179689.88,187699.99,286181.21,375399981.50
7977-Reduce,7.629395e-06,1,15.02,15.02,15.02,15.02
8273-Send,1.001953e+06,314000,0.95,166.73,1416.92,52353527.07
8274-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
8278-Recv,1.001953e+06,314000,0.00,0.39,9.06,121071.10
8279-Wait,0.000000e+00,8000,3.81,34530.52,135299.21,276244187.36
8301-Reduce,7.629395e-06,1,15.02,15.02,15.02,15.02
8660-Send,2.524922e+05,126000,0.95,1.92,20.03,241315.84
8661-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
8665-Recv,2.524922e+05,126000,0.95,0.36,23.13,45420.89
8666-Wait,0.000000e+00,2000,180566.07,187211.44,287631.99,374422884.23
8688-Reduce,7.629395e-06,1,125.17,125.17,125.17,125.17
8996-Send,1.001953e+06,314000,0.95,167.63,1250.98,52635852.81
8997-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
9001-Recv,1.001953e+06,314000,0.00,0.38,15.02,120495.32
9002-Wait,0.000000e+00,8000,3.81,33846.35,128572.94,270770764.83
9024-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
9383-Send,2.524922e+05,126000,0.95,1.93,15.02,243402.48
9384-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
9388-Recv,2.524922e+05,126000,0.00,0.39,5.96,48766.14
9389-Wait,0.000000e+00,2000,182245.97,189413.27,286984.92,378826546.91
9411-Reduce,7.629395e-06,1,22.89,22.89,22.89,22.89
9707-Send,1.001953e+06,314000,0.95,167.37,1408.10,52554901.60
9708-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
9712-Recv,1.001953e+06,314000,0.00,0.37,10.01,116051.91
9713-Wait,0.000000e+00,8000,3.81,34501.61,133702.99,276012853.15
9735-Reduce,7.629395e-06,1,17.88,17.88,17.88,17.88
10094-Send,2.524922e+05,126000,0.95,1.94,19.07,243870.02
10095-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
10099-Recv,2.524922e+05,126000,0.95,0.38,6.20,47603.37
10100-Wait,0.000000e+00,2000,180053.95,188721.42,271553.99,377442849.40
10122-Reduce,7.629395e-06,1,7466.08,7466.08,7466.08,7466.08
10419-Send,1.001953e+06,314000,0.95,165.39,1365.90,51932301.76
10420-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
10424-Recv,1.001953e+06,314000,0.00,0.38,9.06,119981.29
10425-Wait,0.000000e+00,8000,3.81,34379.22,131979.94,275033777.48
10447-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
10806-Send,2.524922e+05,126000,0.95,1.94,15.02,244328.26
10807-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
10811-Recv,2.524922e+05,126000,0.95,0.36,6.91,45076.13
10812-Wait,0.000000e+00,2000,181535.01,190236.59,285097.84,380473170.76
10834-Reduce,7.629395e-06,1,18.12,18.12,18.12,18.12
11130-Send,1.001953e+06,314000,0.95,163.84,1399.99,51444870.00
11131-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
11135-Recv,1.001953e+06,314000,0.00,0.37,12.16,115807.29
11136-Wait,0.000000e+00,8000,3.81,34663.31,133053.06,277306445.60
11158-Reduce,7.629395e-06,1,20.98,20.98,20.98,20.98
11517-Send,2.524922e+05,126000,0.95,1.94,17.88,244854.21
11518-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
11522-Recv,2.524922e+05,126000,0.95,0.38,20.03,48460.96
11523-Wait,0.000000e+00,2000,178417.92,186651.80,276830.91,373303601.26
11545-Reduce,7.629395e-06,1,8347.03,8347.03,8347.03,8347.03
11856-Send,1.001953e+06,314000,0.95,167.95,1832.96,52737106.32
11857-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
11861-Recv,1.001953e+06,314000,0.00,0.39,141.14,121155.74
11862-Wait,0.000000e+00,8000,3.81,34307.02,127094.98,274456139.09
11884-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
12243-Send,2.524922e+05,126000,0.95,1.98,14.07,249721.77
12244-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
12248-Recv,2.524922e+05,126000,0.95,0.38,6.91,48418.76
12249-Wait,0.000000e+00,2000,180034.16,187802.96,281776.91,375605914.35
12271-Reduce,7.629395e-06,1,18.84,18.84,18.84,18.84
12567-Send,1.001953e+06,314000,0.95,168.39,1412.87,52873561.86
12568-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
12572-Recv,1.001953e+06,314000,0.00,0.36,9.06,113864.66
12573-Wait,0.000000e+00,8000,3.81,34766.36,135041.00,278130886.32
12595-Reduce,7.629395e-06,1,22.89,22.89,22.89,22.89
12954-Send,2.524922e+05,126000,0.95,1.96,17.88,247156.86
12955-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
12959-Recv,2.524922e+05,126000,0.95,0.38,7.15,48136.47
12960-Wait,0.000000e+00,2000,179634.81,186969.85,280159.95,373939698.93
12982-Reduce,7.629395e-06,1,22.17,22.17,22.17,22.17
13279-Send,1.001953e+06,314000,0.95,164.46,1373.05,51640090.94
13280-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
13284-Recv,1.001953e+06,314000,0.95,0.36,20.98,114397.76
13285-Wait,0.000000e+00,8000,3.81,34623.91,135090.83,276991271.97
13307-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
13666-Send,2.524922e+05,126000,0.95,1.96,17.88,246966.60
13667-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
13671-Recv,2.524922e+05,126000,0.95,0.39,6.91,48561.57
13672-Wait,0.000000e+00,2000,179974.08,188517.15,275929.93,377034303.43
13694-Reduce,7.629395e-06,1,18.12,18.12,18.12,18.12
13990-Send,1.001953e+06,314000,0.95,165.63,1364.95,52006645.68
13991-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
13995-Recv,1.001953e+06,314000,0.00,0.37,10.01,116506.34
13996-Wait,0.000000e+00,8000,3.81,34608.64,128958.94,276869102.48
14018-Reduce,7.629395e-06,1,20.03,20.03,20.03,20.03
14377-Send,2.524922e+05,126000,0.95,2.01,15.02,253599.64
14378-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
14382-Recv,2.524922e+05,126000,0.00,0.38,7.87,47718.52
14383-Wait,0.000000e+00,2000,178908.82,186675.73,278131.96,373351461.89
14405-Reduce,7.629395e-06,1,31.95,31.95,31.95,31.95
14713-Send,1.001953e+06,314000,0.95,169.04,1322.98,53078634.02
14714-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
14718-Recv,1.001953e+06,314000,0.95,0.39,113.01,122905.25
14719-Wait,0.000000e+00,8000,3.81,34314.20,128540.99,274513610.60
14741-Reduce,7.629395e-06,1,18.12,18.12,18.12,18.12
15100-Send,2.524922e+05,126000,0.95,1.97,16.93,248075.72
15101-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
15105-Recv,2.524922e+05,126000,0.95,0.37,7.15,46190.50
15106-Wait,0.000000e+00,2000,181261.06,188100.90,280397.89,376201795.58
15128-Reduce,7.629395e-06,1,17.88,17.88,17.88,17.88
15424-Send,1.001953e+06,314000,0.95,164.58,1379.01,51677212.95
15425-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
15429-Recv,1.001953e+06,314000,0.00,0.36,8.11,114121.91
15430-Wait,0.000000e+00,8000,3.81,34216.27,127808.09,273730156.90
15452-Reduce,7.629395e-06,1,20.98,20.98,20.98,20.98
15811-Send,2.524922e+05,126000,0.95,1.96,16.93,247227.91
15812-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
15816-Recv,2.524922e+05,126000,0.95,0.37,7.15,47188.28
15817-Wait,0.000000e+00,2000,178560.97,187140.41,278253.08,374280820.37
15839-Reduce,7.629395e-06,1,7449.87,7449.87,7449.87,7449.87
16136-Send,1.001953e+06,314000,0.95,165.63,1383.07,52009144.78
16137-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
16141-Recv,1.001953e+06,314000,0.00,0.37,14.07,115048.65
16142-Wait,0.000000e+00,8000,3.81,34570.83,129819.87,276566663.98
16164-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
16523-Send,2.524922e+05,126000,0.95,1.93,17.17,242636.68
16524-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
16528-Recv,2.524922e+05,126000,0.95,0.38,7.15,47947.88
16529-Wait,0.000000e+00,2000,179983.14,188101.38,259825.94,376202769.76
16551-Reduce,7.629395e-06,1,19.07,19.07,19.07,19.07
16847-Send,1.001953e+06,314000,0.95,168.58,1348.02,52932607.41
16848-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
16852-Recv,1.001953e+06,314000,0.00,0.37,10.01,115555.29
16853-Wait,0.000000e+00,8000,3.81,34723.11,129523.04,277784873.72
16875-Reduce,7.629395e-06,1,21.22,21.22,21.22,21.22
17234-Send,2.524922e+05,126000,0.95,1.91,311.14,241081.00
17235-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
17239-Recv,2.524922e+05,126000,0.00,0.34,7.15,42744.16
17240-Wait,0.000000e+00,2000,179614.07,187075.21,284585.00,374150413.04
17262-Reduce,7.629395e-06,1,7745.98,7745.98,7745.98,7745.98
17570-Send,1.001953e+06,314000,0.95,170.05,1216.89,53396479.13
17571-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
17575-Recv,1.001953e+06,314000,0.95,0.37,15.02,117142.68
17576-Wait,0.000000e+00,8000,3.81,33554.48,131098.99,268435846.81
17598-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
17957-Send,2.524922e+05,126000,0.95,1.94,15.02,244524.48
17958-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
17962-Recv,2.524922e+05,126000,0.95,0.38,6.91,48009.16
17963-Wait,0.000000e+00,2000,183679.10,190103.76,274281.98,380207526.68
17985-Reduce,7.629395e-06,1,17.88,17.88,17.88,17.88
18281-Send,1.001953e+06,314000,0.95,163.53,1374.01,51347846.51
18282-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
18286-Recv,1.001953e+06,314000,0.95,0.36,8.11,113139.39
18287-Wait,0.000000e+00,8000,3.81,34821.76,126533.99,278574076.89
18309-Reduce,7.629395e-06,1,22.89,22.89,22.89,22.89
18668-Send,2.524922e+05,126000,0.95,1.98,18.84,248911.62
18669-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
18673-Recv,2.524922e+05,126000,0.95,0.39,8.11,48939.94
18674-Wait,0.000000e+00,2000,182022.09,189069.11,273260.12,378138215.07
18696-Reduce,7.629395e-06,1,103.00,103.00,103.00,103.00
18993-Send,1.001953e+06,314000,0.95,166.92,1430.03,52411593.20
18994-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
18998-Recv,1.001953e+06,314000,0.95,0.39,13.11,123808.38
18999-Wait,0.000000e+00,8000,3.81,34490.05,123301.98,275920377.02
19021-Reduce,7.629395e-06,1,15.02,15.02,15.02,15.02
19380-Send,2.524922e+05,126000,0.95,1.97,15.97,248433.59
19381-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
19385-Recv,2.524922e+05,126000,0.95,0.38,6.91,47792.67
19386-Wait,0.000000e+00,2000,182129.86,189753.96,272006.03,379507923.36
19408-Reduce,7.629395e-06,1,23.13,23.13,23.13,23.13
19704-Send,1.001953e+06,314000,0.95,167.66,1374.01,52645941.02
19705-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
19709-Recv,1.001953e+06,314000,0.00,0.38,9.06,120326.28
19710-Wait,0.000000e+00,8000,3.81,34631.99,122951.03,277055925.61
19732-Reduce,7.629395e-06,1,16.93,16.93,16.93,16.93
20091-Send,2.524922e+05,126000,0.95,1.93,20.98,243556.98
20092-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
20096-Recv,2.524922e+05,126000,0.95,0.35,7.87,43615.58
20097-Wait,0.000000e+00,2000,181497.81,188666.53,262990.00,377333060.50
20119-Reduce,7.629395e-06,1,31.95,31.95,31.95,31.95
20427-Send,1.001953e+06,314000,0.95,171.73,1171.11,53922151.09
20428-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
20432-Recv,1.001953e+06,314000,0.00,0.38,9.06,120386.36
20433-Wait,0.000000e+00,8000,3.81,33625.02,110050.20,269000149.97
20455-Reduce,7.629395e-06,1,17.17,17.17,17.17,17.17
20814-Send,2.524922e+05,126000,0.95,1.93,16.21,242849.59
20815-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
20819-Recv,2.524922e+05,126000,0.00,0.38,7.15,47809.12
20820-Wait,0.000000e+00,2000,181586.98,188219.40,251807.93,376438793.42
20842-Reduce,7.629395e-06,1,18.12,18.12,18.12,18.12
21138-Send,1.001953e+06,314000,0.95,163.62,1448.87,51376527.07
21139-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
21143-Recv,1.001953e+06,314000,0.00,0.34,9.06,106647.25
21144-Wait,0.000000e+00,8000,3.81,34146.57,125094.18,273172540.19
21166-Reduce,7.629395e-06,1,27.89,27.89,27.89,27.89
21525-Send,2.524922e+05,126000,0.95,2.00,20.03,252341.51
21526-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
21530-Recv,2.524922e+05,126000,0.95,0.37,9.06,46417.95
21531-Wait,0.000000e+00,2000,181586.98,188655.25,285903.22,377310491.32
21553-Reduce,7.629395e-06,1,7426.02,7426.02,7426.02,7426.02
21850-Send,1.001953e+06,314000,0.95,165.53,1399.04,51976737.50
21851-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
21855-Recv,1.001953e+06,314000,0.95,0.39,15.02,122351.41
21856-Wait,0.000000e+00,8000,3.81,34265.67,123143.91,274125386.71
21878-Reduce,7.629395e-06,1,16.93,16.93,16.93,16.93
22237-Send,2.524922e+05,126000,0.95,2.01,17.17,253782.75
22238-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
22242-Recv,2.524922e+05,126000,0.95,0.38,6.91,47690.87
22243-Wait,0.000000e+00,2000,181882.14,188612.78,277206.90,377225560.19
22265-Reduce,7.629395e-06,1,19.07,19.07,19.07,19.07
22561-Send,1.001953e+06,314000,0.95,164.42,1443.86,51628299.24
22562-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
22566-Recv,1.001953e+06,314000,0.95,0.38,9.06,118600.61
22567-Wait,0.000000e+00,8000,3.81,34682.34,129661.08,277458749.77
22589-Reduce,7.629395e-06,1,24.08,24.08,24.08,24.08
22956-Send,2.524922e+05,126000,0.95,2.01,18.84,253028.15
22957-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
22961-Recv,2.524922e+05,126000,0.95,0.35,6.91,44390.20
22962-Wait,0.000000e+00,2000,180412.05,189748.53,279423.00,379497066.02
22984-Reduce,7.629395e-06,1,6358.86,6358.86,6358.86,6358.86
23295-Send,1.001953e+06,314000,0.95,162.37,1243.83,50984709.74
23296-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
23300-Recv,1.001953e+06,314000,0.00,0.37,135.90,115381.96
23301-Wait,0.000000e+00,8000,3.81,35404.96,131280.18,283239692.93
23323-Reduce,7.629395e-06,1,15.97,15.97,15.97,15.97
23682-Send,2.524922e+05,126000,0.95,1.91,11.92,240401.03
23683-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
23687-Recv,2.524922e+05,126000,0.00,0.35,8.11,43569.56
23688-Wait,0.000000e+00,2000,181473.02,191139.40,281303.17,382278790.71
23710-Reduce,7.629395e-06,1,17.88,17.88,17.88,17.88
24006-Send,1.001953e+06,314000,0.95,163.42,1451.02,51315057.28
24007-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
24011-Recv,1.001953e+06,314000,0.00,0.35,19.07,111247.78
24012-Wait,0.000000e+00,8000,3.81,35462.99,131850.00,283703959.47
24034-Reduce,7.629395e-06,1,20.98,20.98,20.98,20.98
24393-Send,2.524922e+05,126000,0.95,1.96,16.93,247155.19
24394-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
24398-Recv,2.524922e+05,126000,0.95,0.36,6.91,44757.37
24399-Wait,0.000000e+00,2000,180541.04,189742.75,278038.02,379485492.23
24421-Reduce,7.629395e-06,1,20.98,20.98,20.98,20.98
24718-Send,1.001953e+06,314000,0.95,162.13,1369.00,50909291.27
24719-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
24723-Recv,1.001953e+06,314000,0.00,0.38,20.98,118450.40
24724-Wait,0.000000e+00,8000,3.81,35150.24,130381.11,281201899.77
24746-Reduce,7.629395e-06,1,16.93,16.93,16.93,16.93
25105-Send,2.524922e+05,126000,0.95,1.95,15.97,245335.34
25106-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
25110-Recv,2.524922e+05,126000,0.95,0.35,6.91,44269.32
25111-Wait,0.000000e+00,2000,179146.05,191033.00,283365.96,382066004.04
25133-Reduce,7.629395e-06,1,17.88,17.88,17.88,17.88
25429-Send,1.001953e+06,314000,0.95,165.43,1391.17,51946140.29
25430-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
25434-Recv,1.001953e+06,314000,0.00,0.37,18.84,115361.69
25435-Wait,0.000000e+00,8000,3.81,35392.50,133639.10,283140033.96
25457-Reduce,7.629395e-06,1,21.93,21.93,21.93,21.93
25816-Send,2.524922e+05,126000,0.95,1.96,15.02,246607.07
25817-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
25821-Recv,2.524922e+05,126000,0.95,0.38,10.01,47429.32
25822-Wait,0.000000e+00,2000,180165.05,189993.85,276624.20,379987703.56
25844-Reduce,7.629395e-06,1,31.95,31.95,31.95,31.95
26152-Send,1.001953e+06,314000,0.95,160.95,1204.97,50538063.76
26153-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
26157-Recv,1.001953e+06,314000,0.00,0.39,138.04,122758.63
26158-Wait,0.000000e+00,8000,3.81,35274.75,127867.94,282197998.52
26180-Reduce,7.629395e-06,1,18.12,18.12,18.12,18.12
26539-Send,2.524922e+05,126000,0.95,1.87,16.93,235836.98
26540-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
26544-Recv,2.524922e+05,126000,0.95,0.37,7.87,46039.34
26545-Wait,0.000000e+00,2000,180349.11,190625.82,278387.07,381251645.80
26567-Reduce,7.629395e-06,1,16.93,16.93,16.93,16.93
26863-Send,1.001953e+06,314000,0.95,162.96,1451.97,51170357.23
26864-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
26868-Recv,1.001953e+06,314000,0.00,0.38,19.07,118556.74
26869-Wait,0.000000e+00,8000,3.81,35544.94,130462.88,284359551.19
26891-Reduce,7.629395e-06,1,26.94,26.94,26.94,26.94
27250-Send,2.524922e+05,126000,0.95,1.88,17.17,236799.96
27251-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
27255-Recv,2.524922e+05,126000,0.95,0.36,7.15,45357.23
27256-Wait,0.000000e+00,2000,181030.04,190282.48,279063.94,380564961.43
27278-Reduce,7.629395e-06,1,7507.09,7507.09,7507.09,7507.09
27575-Send,1.001953e+06,314000,0.95,162.29,1356.12,50957553.63
27576-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
27580-Recv,1.001953e+06,314000,0.00,0.38,19.07,118126.63
27581-Wait,0.000000e+00,8000,3.81,35186.27,128961.09,281490153.07
27603-Reduce,7.629395e-06,1,20.03,20.03,20.03,20.03
27962-Send,2.524922e+05,126000,0.95,1.95,15.02,245385.89
27963-SendRecv,0.000000e+00,0,0.00,0.00,0.00,0.00
27967-Recv,2.524922e+05,126000,0.95,0.36,7.15,45522.93
